derived_from_real_fields,dominant_estimate_confidence,estimated_or_synthetic_fields,missing_fields,player_name,player_wc_id,real_structured_fields,team_wc_id,year
17,C,15,1,not applicable Zico,player_p_37483_1986,9,team_brazil_1986,1986
16,D,15,2,not applicable Edivaldo,player_p_30573_1986,9,team_brazil_1986,1986
16,D,15,2,Paulo Vítor,player_p_34958_1986,9,team_brazil_1986,1986
17,C,15,1,not applicable Josimar,player_p_79755_1986,9,team_brazil_1986,1986
17,C,15,1,Júlio César,player_p_05820_1986,9,team_brazil_1986,1986
17,C,15,1,not applicable Alemão,player_p_76896_1986,9,team_brazil_1986,1986
16,D,15,2,Mauro Galvão,player_p_06573_1986,9,team_brazil_1986,1986
17,C,15,1,not applicable Branco,player_p_90842_1986,9,team_brazil_1986,1986
17,C,15,1,not applicable Sócrates,player_p_78605_1986,9,team_brazil_1986,1986
17,C,15,1,not applicable Elzo,player_p_50408_1986,9,team_brazil_1986,1986
17,C,15,1,Paulo Silas,player_p_12049_1986,9,team_brazil_1986,1986
16,D,15,2,not applicable Valdo,player_p_10596_1986,9,team_brazil_1986,1986
16,D,15,2,not applicable Leão,player_p_06015_1986,9,team_brazil_1986,1986
17,C,15,1,Borislav Mihaylov,player_p_94024_1986,9,team_bulgaria_1986,1986
17,C,15,1,Nasko Sirakov,player_p_05061_1986,9,team_bulgaria_1986,1986
17,C,15,1,Nikolay Arabov,player_p_86608_1986,9,team_bulgaria_1986,1986
17,C,15,1,Petar Petrov,player_p_28606_1986,9,team_bulgaria_1986,1986
17,C,15,1,Georgi Dimitrov,player_p_25752_1986,9,team_bulgaria_1986,1986
17,C,15,1,Andrey Zhelyazkov,player_p_73764_1986,9,team_bulgaria_1986,1986
17,C,15,1,Bozhidar Iskrenov,player_p_99064_1986,9,team_bulgaria_1986,1986
17,C,15,1,Ayan Sadakov,player_p_09476_1986,9,team_bulgaria_1986,1986
17,C,15,1,Stoycho Mladenov,player_p_91932_1986,9,team_bulgaria_1986,1986
17,C,15,1,Zhivko Gospodinov,player_p_32755_1986,9,team_bulgaria_1986,1986
17,C,15,1,Plamen Getov,player_p_76141_1986,9,team_bulgaria_1986,1986
17,C,15,1,Radoslav Zdravkov,player_p_32447_1986,9,team_bulgaria_1986,1986
17,C,15,1,Aleksandar Markov,player_p_62546_1986,9,team_bulgaria_1986,1986
17,C,15,1,Plamen Markov,player_p_07363_1986,9,team_bulgaria_1986,1986
17,C,15,1,Georgi Yordanov,player_p_48970_1986,9,team_bulgaria_1986,1986
16,D,15,2,Vasil Dragolov,player_p_33225_1986,9,team_bulgaria_1986,1986
16,D,15,2,Hristo Kolev,player_p_84561_1986,9,team_bulgaria_1986,1986
17,C,15,1,Boycho Velichkov,player_p_25143_1986,9,team_bulgaria_1986,1986
17,C,15,1,Atanas Pashev,player_p_19526_1986,9,team_bulgaria_1986,1986
17,C,15,1,Kostadin Kostadinov,player_p_08726_1986,9,team_bulgaria_1986,1986
16,D,15,2,Iliya Dyakov,player_p_33846_1986,9,team_bulgaria_1986,1986
16,D,15,2,Iliya Valov,player_p_52146_1986,9,team_bulgaria_1986,1986
16,C,15,2,Tino Lettieri,player_p_09660_1986,9,team_canada_1986,1986
16,C,15,2,Bob Lenarduzzi,player_p_97018_1986,9,team_canada_1986,1986
16,C,15,2,Bruce Wilson,player_p_78960_1986,9,team_canada_1986,1986
16,C,15,2,Randy Ragan,player_p_07554_1986,9,team_canada_1986,1986
15,D,15,3,Terry Moore,player_p_35196_1986,9,team_canada_1986,1986
16,C,15,2,Ian Bridge,player_p_15173_1986,9,team_canada_1986,1986
16,C,15,2,Carl Valentine,player_p_73303_1986,9,team_canada_1986,1986
16,C,15,2,Gerry Gray,player_p_61972_1986,9,team_canada_1986,1986
16,C,15,2,Branko Šegota,player_p_92139_1986,9,team_canada_1986,1986
16,C,15,2,Igor Vrablic,player_p_27353_1986,9,team_canada_1986,1986
16,C,15,2,Mike Sweeney,player_p_05935_1986,9,team_canada_1986,1986
16,C,15,2,Randy Samuel,player_p_82297_1986,9,team_canada_1986,1986
16,C,15,2,George Pakos,player_p_21914_1986,9,team_canada_1986,1986
16,C,15,2,Dale Mitchell,player_p_67430_1986,9,team_canada_1986,1986
16,C,15,2,Paul James,player_p_73226_1986,9,team_canada_1986,1986
15,D,15,3,Greg Ion,player_p_08567_1986,9,team_canada_1986,1986
16,C,15,2,David Norman,player_p_50657_1986,9,team_canada_1986,1986
16,C,15,2,Jamie Lowery,player_p_25508_1986,9,team_canada_1986,1986
15,D,15,3,Pasquale De Luca,player_p_90988_1986,9,team_canada_1986,1986
15,D,15,3,Colin Miller,player_p_13395_1986,9,team_canada_1986,1986
15,D,15,3,Sven Habermann,player_p_27647_1986,9,team_canada_1986,1986
16,C,15,2,Paul Dolan,player_p_33784_1986,9,team_canada_1986,1986
17,C,15,1,Troels Rasmussen,player_p_06115_1986,9,team_denmark_1986,1986
17,C,15,1,John Sivebæk,player_p_46140_1986,9,team_denmark_1986,1986
17,C,15,1,Søren Busk,player_p_94731_1986,9,team_denmark_1986,1986
17,C,15,1,Morten Olsen,player_p_40610_1986,9,team_denmark_1986,1986
17,C,15,1,Ivan Nielsen,player_p_62631_1986,9,team_denmark_1986,1986
17,C,15,1,Søren Lerby,player_p_92595_1986,9,team_denmark_1986,1986
17,C,15,1,Jan Mølby,player_p_49069_1986,9,team_denmark_1986,1986
17,C,15,1,Jesper Olsen,player_p_21213_1986,9,team_denmark_1986,1986
17,C,15,1,Klaus Berggreen,player_p_77330_1986,9,team_denmark_1986,1986
17,C,15,1,Preben Elkjær,player_p_36502_1986,9,team_denmark_1986,1986
17,C,15,1,Michael Laudrup,player_p_56788_1986,9,team_denmark_1986,1986
17,C,15,1,Jens Jørn Bertelsen,player_p_53824_1986,9,team_denmark_1986,1986
16,D,15,2,Per Frimann,player_p_48513_1986,9,team_denmark_1986,1986
17,C,15,1,Allan Simonsen,player_p_07140_1986,9,team_denmark_1986,1986
17,C,15,1,Frank Arnesen,player_p_00445_1986,9,team_denmark_1986,1986
16,D,15,2,Ole Qvist,player_p_17302_1986,9,team_denmark_1986,1986
16,D,15,2,Kent Nielsen,player_p_58408_1986,9,team_denmark_1986,1986
16,D,15,2,Flemming Christensen,player_p_60480_1986,9,team_denmark_1986,1986
17,C,15,1,John Eriksen,player_p_92292_1986,9,team_denmark_1986,1986
16,D,15,2,Jan Bartram,player_p_98689_1986,9,team_denmark_1986,1986
17,C,15,1,Henrik Andersen,player_p_04488_1986,9,team_denmark_1986,1986
17,C,15,1,Lars Høgh,player_p_83507_1986,9,team_denmark_1986,1986
17,C,15,1,Peter Shilton,player_p_20640_1986,9,team_england_1986,1986
17,C,15,1,Gary Stevens,player_p_23718_1986,9,team_england_1986,1986
17,C,15,1,Kenny Sansom,player_p_59016_1986,9,team_england_1986,1986
17,C,15,1,Glenn Hoddle,player_p_68542_1986,9,team_england_1986,1986
17,C,15,1,Alvin Martin,player_p_29522_1986,9,team_england_1986,1986
17,C,15,1,Terry Butcher,player_p_49962_1986,9,team_england_1986,1986
17,C,15,1,Bryan Robson,player_p_02675_1986,9,team_england_1986,1986
17,C,15,1,Ray Wilkins,player_p_34141_1986,9,team_england_1986,1986
17,C,15,1,Mark Hateley,player_p_65174_1986,9,team_england_1986,1986
17,C,15,1,Gary Lineker,player_p_36651_1986,9,team_england_1986,1986
17,C,15,1,Chris Waddle,player_p_19351_1986,9,team_england_1986,1986
16,D,15,2,Viv Anderson,player_p_70102_1986,9,team_england_1986,1986
16,D,15,2,Chris Woods,player_p_81883_1986,9,team_england_1986,1986
17,C,15,1,Terry Fenwick,player_p_87821_1986,9,team_england_1986,1986
17,C,15,1,Gary Stevens,player_p_49130_1986,9,team_england_1986,1986
17,C,15,1,Peter Reid,player_p_53735_1986,9,team_england_1986,1986
17,C,15,1,Trevor Steven,player_p_76340_1986,9,team_england_1986,1986
17,C,15,1,Steve Hodge,player_p_78807_1986,9,team_england_1986,1986
17,C,15,1,John Barnes,player_p_38921_1986,9,team_england_1986,1986
17,C,15,1,Peter Beardsley,player_p_18335_1986,9,team_england_1986,1986
17,C,15,1,Kerry Dixon,player_p_08967_1986,9,team_england_1986,1986
16,D,15,2,Gary Bailey,player_p_60826_1986,9,team_england_1986,1986
17,C,15,1,Joël Bats,player_p_51570_1986,9,team_france_1986,1986
17,C,15,1,Manuel Amoros,player_p_69834_1986,9,team_france_1986,1986
17,C,15,1,William Ayache,player_p_29650_1986,9,team_france_1986,1986
17,C,15,1,Patrick Battiston,player_p_12738_1986,9,team_france_1986,1986
17,C,15,1,Michel Bibard,player_p_27495_1986,9,team_france_1986,1986
17,C,15,1,Maxime Bossis,player_p_03719_1986,9,team_france_1986,1986
17,C,15,1,Yvon Le Roux,player_p_94723_1986,9,team_france_1986,1986
17,C,15,1,Thierry Tusseau,player_p_52595_1986,9,team_france_1986,1986
17,C,15,1,Luis Fernández,player_p_00643_1986,9,team_france_1986,1986
17,C,15,1,Michel Platini,player_p_08939_1986,9,team_france_1986,1986
17,C,15,1,Jean-Marc Ferreri,player_p_80821_1986,9,team_france_1986,1986
17,C,15,1,Alain Giresse,player_p_79617_1986,9,team_france_1986,1986
17,C,15,1,Bernard Genghini,player_p_05511_1986,9,team_france_1986,1986
17,C,15,1,Jean Tigana,player_p_76592_1986,9,team_france_1986,1986
17,C,15,1,Philippe Vercruysse,player_p_93959_1986,9,team_france_1986,1986
17,C,15,1,Bruno Bellone,player_p_12716_1986,9,team_france_1986,1986
17,C,15,1,Jean-Pierre Papin,player_p_31235_1986,9,team_france_1986,1986
17,C,15,1,Dominique Rocheteau,player_p_99991_1986,9,team_france_1986,1986
17,C,15,1,Yannick Stopyra,player_p_22982_1986,9,team_france_1986,1986
17,C,15,1,Daniel Xuereb,player_p_88945_1986,9,team_france_1986,1986
16,D,15,2,Philippe Bergeroo,player_p_51538_1986,9,team_france_1986,1986
17,C,15,1,Albert Rust,player_p_87726_1986,9,team_france_1986,1986
17,C,15,1,Péter Disztl,player_p_71520_1986,9,team_hungary_1986,1986
17,C,15,1,Sándor Sallai,player_p_65801_1986,9,team_hungary_1986,1986
17,C,15,1,Antal Róth,player_p_77817_1986,9,team_hungary_1986,1986
17,C,15,1,József Varga,player_p_51494_1986,9,team_hungary_1986,1986
17,C,15,1,József Kardos,player_p_04063_1986,9,team_hungary_1986,1986
17,C,15,1,Imre Garaba,player_p_45821_1986,9,team_hungary_1986,1986
17,C,15,1,József Kiprich,player_p_67142_1986,9,team_hungary_1986,1986
17,C,15,1,Antal Nagy,player_p_99704_1986,9,team_hungary_1986,1986
17,C,15,1,László Dajka,player_p_52793_1986,9,team_hungary_1986,1986
17,C,15,1,Lajos Détári,player_p_88653_1986,9,team_hungary_1986,1986
17,C,15,1,Márton Esterházy,player_p_06745_1986,9,team_hungary_1986,1986
16,D,15,2,József Csuhay,player_p_00795_1986,9,team_hungary_1986,1986
16,D,15,2,László Disztl,player_p_56500_1986,9,team_hungary_1986,1986
17,C,15,1,Zoltán Péter,player_p_15144_1986,9,team_hungary_1986,1986
17,C,15,1,Péter Hannich,player_p_26969_1986,9,team_hungary_1986,1986
16,D,15,2,József Nagy,player_p_32610_1986,9,team_hungary_1986,1986
17,C,15,1,Győző Burcsa,player_p_13416_1986,9,team_hungary_1986,1986
17,C,15,1,József Szendrei,player_p_21159_1986,9,team_hungary_1986,1986
17,C,15,1,György Bognár,player_p_48639_1986,9,team_hungary_1986,1986
17,C,15,1,Kálmán Kovács,player_p_97362_1986,9,team_hungary_1986,1986
16,D,15,2,Gyula Hajszán,player_p_81476_1986,9,team_hungary_1986,1986
16,D,15,2,József Andrusch,player_p_12206_1986,9,team_hungary_1986,1986
17,C,15,1,Raad Hammoudi,player_p_20424_1986,9,team_iraq_1986,1986
17,C,15,1,Maad Ibrahim,player_p_20549_1986,9,team_iraq_1986,1986
17,C,15,1,Khalil Allawi,player_p_08949_1986,9,team_iraq_1986,1986
17,C,15,1,Nadhim Shaker,player_p_62944_1986,9,team_iraq_1986,1986
17,C,15,1,Samir Shaker,player_p_15649_1986,9,team_iraq_1986,1986
17,C,15,1,Ali Hussein Shihab,player_p_10707_1986,9,team_iraq_1986,1986
17,C,15,1,Haris Mohammed,player_p_97678_1986,9,team_iraq_1986,1986
17,C,15,1,Ahmed Radhi,player_p_37600_1986,9,team_iraq_1986,1986
17,C,15,1,Karim Saddam,player_p_34556_1986,9,team_iraq_1986,1986
17,C,15,1,Hussein Saeed,player_p_54079_1986,9,team_iraq_1986,1986
17,C,15,1,Rahim Hameed,player_p_88871_1986,9,team_iraq_1986,1986
16,D,15,2,Jamal Ali,player_p_32244_1986,9,team_iraq_1986,1986
16,D,15,2,Karim Allawi,player_p_56076_1986,9,team_iraq_1986,1986
17,C,15,1,Basil Gorgis,player_p_76810_1986,9,team_iraq_1986,1986
17,C,15,1,Natiq Hashim,player_p_72587_1986,9,team_iraq_1986,1986
17,C,15,1,Shaker Mahmoud,player_p_29742_1986,9,team_iraq_1986,1986
17,C,15,1,Anad Abid,player_p_00685_1986,9,team_iraq_1986,1986
16,D,15,2,Ismail Mohammed Sharif,player_p_22174_1986,9,team_iraq_1986,1986
17,C,15,1,Basim Qasim,player_p_57174_1986,9,team_iraq_1986,1986
17,C,15,1,Fatah Nsaief,player_p_33838_1986,9,team_iraq_1986,1986
16,D,15,2,Ahmad Jassim,player_p_34985_1986,9,team_iraq_1986,1986
17,C,15,1,Ghanim Oraibi,player_p_42180_1986,9,team_iraq_1986,1986
17,C,15,1,Giovanni Galli,player_p_56533_1986,9,team_italy_1986,1986
17,C,15,1,Giuseppe Bergomi,player_p_29143_1986,9,team_italy_1986,1986
17,C,15,1,Antonio Cabrini,player_p_03775_1986,9,team_italy_1986,1986
17,C,15,1,Fulvio Collovati,player_p_30672_1986,9,team_italy_1986,1986
16,D,15,2,Sebastiano Nela,player_p_99684_1986,9,team_italy_1986,1986
17,C,15,1,Gaetano Scirea,player_p_99788_1986,9,team_italy_1986,1986
16,D,15,2,Roberto Tricella,player_p_24028_1986,9,team_italy_1986,1986
17,C,15,1,Pietro Vierchowod,player_p_73911_1986,9,team_italy_1986,1986
16,D,15,2,Carlo Ancelotti,player_p_13638_1986,9,team_italy_1986,1986
17,C,15,1,Salvatore Bagni,player_p_49669_1986,9,team_italy_1986,1986
17,C,15,1,Giuseppe Baresi,player_p_55733_1986,9,team_italy_1986,1986
16,D,15,2,Franco Tancredi,player_p_50344_1986,9,team_italy_1986,1986
17,C,15,1,Fernando De Napoli,player_p_32608_1986,9,team_italy_1986,1986
17,C,15,1,Antonio Di Gennaro,player_p_69913_1986,9,team_italy_1986,1986
16,D,15,2,Marco Tardelli,player_p_93788_1986,9,team_italy_1986,1986
17,C,15,1,Bruno Conti,player_p_66365_1986,9,team_italy_1986,1986
17,C,15,1,Gianluca Vialli,player_p_81402_1986,9,team_italy_1986,1986
17,C,15,1,Alessandro Altobelli,player_p_46574_1986,9,team_italy_1986,1986
17,C,15,1,Giuseppe Galderisi,player_p_45432_1986,9,team_italy_1986,1986
16,D,15,2,Paolo Rossi,player_p_91717_1986,9,team_italy_1986,1986
16,D,15,2,Aldo Serena,player_p_35253_1986,9,team_italy_1986,1986
16,D,15,2,Walter Zenga,player_p_57440_1986,9,team_italy_1986,1986
17,C,15,1,Pablo Larios,player_p_96913_1986,9,team_mexico_1986,1986
17,C,15,1,Mario Trejo,player_p_47178_1986,9,team_mexico_1986,1986
17,C,15,1,Fernando Quirarte,player_p_28996_1986,9,team_mexico_1986,1986
16,D,15,2,Armando Manzo,player_p_38416_1986,9,team_mexico_1986,1986
17,C,15,1,Francisco Javier Cruz,player_p_83744_1986,9,team_mexico_1986,1986
17,C,15,1,Carlos de los Cobos,player_p_10537_1986,9,team_mexico_1986,1986
17,C,15,1,Miguel España,player_p_19791_1986,9,team_mexico_1986,1986
17,C,15,1,Alejandro Domínguez,player_p_03454_1986,9,team_mexico_1986,1986
17,C,15,1,Hugo Sánchez,player_p_26316_1986,9,team_mexico_1986,1986
17,C,15,1,Tomás Boy,player_p_62984_1986,9,team_mexico_1986,1986
16,D,15,2,Carlos Hermosillo,player_p_22941_1986,9,team_mexico_1986,1986
16,D,15,2,Ignacio Rodríguez,player_p_43570_1986,9,team_mexico_1986,1986
17,C,15,1,Javier Aguirre,player_p_59792_1986,9,team_mexico_1986,1986
17,C,15,1,Felix Cruz,player_p_56743_1986,9,team_mexico_1986,1986
17,C,15,1,Luis Flores,player_p_85837_1986,9,team_mexico_1986,1986
17,C,15,1,Carlos Muñoz,player_p_67053_1986,9,team_mexico_1986,1986
17,C,15,1,Raúl Servín,player_p_89412_1986,9,team_mexico_1986,1986
17,C,15,1,Rafael Amador,player_p_63828_1986,9,team_mexico_1986,1986
16,D,15,2,Javier Hernández,player_p_93110_1986,9,team_mexico_1986,1986
16,D,15,2,Olaf Heredia,player_p_83083_1986,9,team_mexico_1986,1986
16,D,15,2,Cristóbal Ortega,player_p_10248_1986,9,team_mexico_1986,1986
17,C,15,1,Manuel Negrete,player_p_66199_1986,9,team_mexico_1986,1986
17,C,15,1,Badou Zaki,player_p_87191_1986,9,team_morocco_1986,1986
17,C,15,1,Labid Khalifa,player_p_92676_1986,9,team_morocco_1986,1986
17,C,15,1,Abdelmajid Lamriss,player_p_40516_1986,9,team_morocco_1986,1986
17,C,15,1,Mustafa El Biyaz,player_p_95808_1986,9,team_morocco_1986,1986
17,C,15,1,Noureddine Bouyahyaoui,player_p_07753_1986,9,team_morocco_1986,1986
17,C,15,1,Abdelmajid Dolmy,player_p_40453_1986,9,team_morocco_1986,1986
17,C,15,1,Mustafa El Haddaoui,player_p_37917_1986,9,team_morocco_1986,1986
17,C,15,1,Aziz Bouderbala,player_p_99850_1986,9,team_morocco_1986,1986
17,C,15,1,Abdelkrim Merry,player_p_32922_1986,9,team_morocco_1986,1986
17,C,15,1,Mohamed Timoumi,player_p_04834_1986,9,team_morocco_1986,1986
17,C,15,1,Mustafa Merry,player_p_87575_1986,9,team_morocco_1986,1986
16,D,15,2,Salahdine Hmied,player_p_37638_1986,9,team_morocco_1986,1986
16,D,15,2,Abdelfettah Rhiati,player_p_32719_1986,9,team_morocco_1986,1986
17,C,15,1,Lahcen Ouadani,player_p_74260_1986,9,team_morocco_1986,1986
16,D,15,2,Mouncif El Haddaoui,player_p_13902_1986,9,team_morocco_1986,1986
16,D,15,2,Azzedine Amanallah,player_p_11961_1986,9,team_morocco_1986,1986
17,C,15,1,Abderrazak Khairi,player_p_21024_1986,9,team_morocco_1986,1986
16,D,15,2,Mohammed Sahil,player_p_43398_1986,9,team_morocco_1986,1986
16,D,15,2,Fadel Jilal,player_p_29930_1986,9,team_morocco_1986,1986
16,D,15,2,Abdellah Bidane,player_p_03975_1986,9,team_morocco_1986,1986
17,C,15,1,Abdelaziz Souleimani,player_p_40996_1986,9,team_morocco_1986,1986
16,D,15,2,Abdelfettah Mouddani,player_p_79497_1986,9,team_morocco_1986,1986
17,C,15,1,Pat Jennings,player_p_55794_1986,9,team_northern_ireland_1986,1986
17,C,15,1,Jimmy Nicholl,player_p_53798_1986,9,team_northern_ireland_1986,1986
17,C,15,1,Mal Donaghy,player_p_40771_1986,9,team_northern_ireland_1986,1986
17,C,15,1,John O'Neill,player_p_62565_1986,9,team_northern_ireland_1986,1986
17,C,15,1,Alan McDonald,player_p_98708_1986,9,team_northern_ireland_1986,1986
17,C,15,1,David McCreery,player_p_99050_1986,9,team_northern_ireland_1986,1986
17,C,15,1,Steve Penney,player_p_84808_1986,9,team_northern_ireland_1986,1986
17,C,15,1,Sammy McIlroy,player_p_32829_1986,9,team_northern_ireland_1986,1986
16,D,15,2,Jimmy Quinn,player_p_23905_1986,9,team_northern_ireland_1986,1986
17,C,15,1,Norman Whiteside,player_p_62599_1986,9,team_northern_ireland_1986,1986
17,C,15,1,Ian Stewart,player_p_88012_1986,9,team_northern_ireland_1986,1986
16,D,15,2,Jim Platt,player_p_04514_1986,9,team_northern_ireland_1986,1986
16,D,15,2,Philip Hughes,player_p_92698_1986,9,team_northern_ireland_1986,1986
17,C,15,1,Gerry Armstrong,player_p_96985_1986,9,team_northern_ireland_1986,1986
17,C,15,1,Nigel Worthington,player_p_19672_1986,9,team_northern_ireland_1986,1986
16,D,15,2,Paul Ramsey,player_p_99479_1986,9,team_northern_ireland_1986,1986
17,C,15,1,Colin Clarke,player_p_74529_1986,9,team_northern_ireland_1986,1986
16,D,15,2,John McClelland,player_p_76981_1986,9,team_northern_ireland_1986,1986
17,C,15,1,Billy Hamilton,player_p_76882_1986,9,team_northern_ireland_1986,1986
16,D,15,2,Bernard McNally,player_p_28922_1986,9,team_northern_ireland_1986,1986
17,C,15,1,David Campbell,player_p_40633_1986,9,team_northern_ireland_1986,1986
16,D,15,2,Mark Caughey,player_p_42530_1986,9,team_northern_ireland_1986,1986
17,C,15,1,Roberto Fernández,player_p_47269_1986,9,team_paraguay_1986,1986
17,C,15,1,Juan Torales,player_p_13699_1986,9,team_paraguay_1986,1986
17,C,15,1,César Zabala,player_p_60644_1986,9,team_paraguay_1986,1986
17,C,15,1,Vladimiro Schettina,player_p_77194_1986,9,team_paraguay_1986,1986
17,C,15,1,Rogelio Delgado,player_p_20267_1986,9,team_paraguay_1986,1986
17,C,15,1,Jorge Amado Nunes,player_p_56811_1986,9,team_paraguay_1986,1986
